Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 8486 8113
Dim 2: 2182 2996
Dim 3: 8423 5544
Object coordinates:
391: 51.6347 87.3079 77.9223 
392: 90.9304 90.4384 81.1068 
393: 82.6895 73.6773 152.212 
394: 78.3296 80.8898 111.949 
395: 42.5417 75.4264 125.654 
396: 91.4624 174.239 77.5598 
397: 114.413 38.9843 102.91 
398: 55.6131 114.556 157.642 
399: 94.8344 128.172 131.828 
400: 79.4339 113.785 68.0952 
401: 69.5767 60.5387 132.465 
402: 66.1449 120.502 45.3079 
403: 93.2898 112.436 177.935 
404: 135.696 46.7579 84.7261 
405: 111.15 119.792 131.41 
406: 56.3284 56.9006 119.352 
407: 101.173 85.3298 94.8739 
408: 109.101 99.0818 119.778 
409: 68.0493 173.479 84.4207 
410: 118.361 124.807 115.256 
411: 73.2458 64.3403 99.7858 
412: 80.3636 166.941 82.4361 
413: 82.0411 64.1557 148.512 
414: 68.8426 57.1726 122.261 
415: 149.679 83.2697 98.2645 
416: 59.7758 118.562 80.5482 
417: 42.0147 122.488 103.191 
418: 120.392 130.061 119.752 
419: 33.7867 116.465 90.3131 
420: 58.7378 99.9245 105.97 
421: 43.3456 78.8563 72.7136 
422: 77.5649 150.129 107.297 
423: 67.922 136.629 80.5641 
424: 86.4798 120.903 141.16 
425: 92.394 59.025 100.431 
426: 55.7056 91.8231 80.1949 
427: 74.4858 87.9759 140.989 
428: 83.07 163.497 78.024 
429: 55.4586 93.3652 60.5585 
430: 122.054 75.9566 112.504 
431: 42.4469 120.307 123.462 
432: 48.3704 104.975 72.0821 
433: 114.531 118.275 52.7022 
434: 97.9581 132.678 122.854 
435: 77.2971 98.6029 132.147 
436: 87.4705 32.2617 106.796 
437: 103.271 118.801 143.277 
438: 45.8893 73.3252 88.8474 
439: 140.768 96.1157 95.0315 
440: 58.825 72.2157 91.9453 
441: 57.4534 91.5261 59.4857 
442: 135.819 147.682 64.8022 
443: 101.723 112.8 85.9815 
444: 53.5387 70.1967 120.855 
445: 96.579 164.588 84.403 
446: 46.558 78.2009 123.805 
447: 111.05 158.453 97.2359 
448: 61.6603 143.337 66.0971 
449: 58.826 84.0945 125.626 
450: 109.858 41.4374 80.065 
451: 77.6224 115.882 137.55 
452: 98.8413 145.218 87.1918 
453: 88.3372 91.8056 114.637 
454: 96.9 127.604 153.702 
455: 79.2424 150.164 96.2324 
456: 112.786 153.397 132.493 
457: 88.2173 100.239 148.193 
458: 80.5447 89.55 78.2269 
459: 114.311 41.6482 107.771 
460: 52.8972 103.978 90.0069 
461: 114.299 106.247 62.0442 
462: 105.058 47.6179 101.877 
463: 87.3722 89.9894 139.72 
464: 150.26 62.8047 94.1796 
465: 71.9339 112.371 149.637 
466: 119.657 77.0296 68.844 
467: 101.65 56.5255 141.674 
468: 148.651 127.204 134.602 
469: 78.4234 54.2732 86.0336 
470: 160.679 77.4248 104.594 
471: 70.6473 69.5069 122.888 
472: 76.8671 63.4747 79.8221 
473: 145.403 66.6651 127.709 
474: 129.676 41.3392 116.618 
475: 99.8296 64.4418 101.756 
476: 77.1776 101.974 43.7967 
477: 50.7759 67.4549 133.147 
478: 72.4488 82.2459 50.3542 
479: 79.132 120.342 111.313 
480: 82.9511 80.1476 76.1553 
481: 41.3251 105.135 152.443 
482: 138.488 75.0225 96.6857 
483: 135.3 75.1617 68.9254 
484: 54.4528 129.145 54.2368 
485: 106.709 100.67 124.962 
486: 67.7046 64.1311 142.092 
487: 76.688 77.1924 105.17 
488: 70.2396 80.2438 56.4392 
489: 70.5307 125.445 82.7795 
490: 97.0055 142.074 81.9688 
491: 31.3788 98.7228 66.1814 
492: 119.595 124.686 99.1411 
493: 112.304 106.231 71.2528 
494: 98.9891 118.659 86.5923 
495: 82.97 158.635 114.377 
496: 79.3576 116.765 155.19 
497: 48.1182 87.2411 145.844 
498: 151.658 122.635 119.523 
499: 66.0316 117.496 49.7802 
500: 101.153 141.093 92.8956 
501: 100.592 129.768 58.8559 
502: 103.803 103.801 77.0969 
503: 113.508 85.4048 87.1836 
504: 67.2806 170.531 95.1239 
505: 14.1046 91.8853 102.172 
506: 76.6218 81.0841 133.186 
507: 51.0126 128.177 112.517 
508: 134.572 119.215 57.3493 
509: 112.929 80.2821 102.134 
510: 67.9631 148.515 85.6781 
511: 88.2488 146.132 75.3371 
512: 89.0598 94.9454 93.2899 
513: 84.529 116.605 90.2999 
514: 138.501 45.3332 102.618 
515: 65.2447 133.839 124.674 
516: 96.749 77.6771 174.28 
517: 105.016 117.963 54.6557 
518: 48.7415 106.029 151.562 
519: 76.4107 112.37 45.0113 
520: 62.0708 150.685 116.426 
521: 93.2444 102.66 78.6063 
522: 100.664 128.825 110.224 
523: 59.125 114.919 95.5256 
524: 72.5198 112.651 111.014 
525: 60.362 62.8943 126.345 
526: 120.12 103.721 106.398 
527: 54.3 101.574 100.232 
528: 79.524 164.389 119.287 
529: 40.7612 127.422 104.01 
530: 58.0932 128.686 122.241 
531: 77.4556 131.473 151.447 
532: 100.238 77.2782 127.731 
533: 117.024 30.4983 99.8811 
534: 103.577 81.2373 113.735 
535: 94.0536 103.823 70.7804 
536: 60.9452 128.327 56.9914 
537: 106.197 145.472 149.846 
538: 96.1919 117.826 127.496 
539: 76.5503 115.888 94.3762 
540: 97.0103 116.348 129.564 
541: 105.966 88.7507 149.017 
542: 34.303 135.097 64.4801 
543: 145.697 123.593 84.1029 
544: 86.2834 108.221 114.748 
545: 41.4233 119.638 117.8 
546: 66.7166 101.428 67.4151 
547: 70.2663 138.398 82.4216 
548: 89.2653 119.798 128.927 
549: 110.138 62.1147 151.61 
550: 92.7781 101.936 122.155 
551: 46.035 86.3437 87.6649 
552: 51.6203 131.126 89.4072 
553: 89.8758 149.668 107.006 
554: 45.1571 137.532 82.848 
555: 121.412 85.4431 21.8527 
556: 54.1819 76.5194 103.818 
557: 40.5869 76.7283 77.3198 
558: 96.7947 79.2621 163.06 
559: 100.276 100.181 142.58 
560: 164.886 70.1542 91.3542 
561: 60.2222 131.073 102.859 
562: 81.2987 123.893 71.0167 
563: 50.5752 125.85 36.4377 
564: 63.3033 95.3183 88.7913 
565: 114.993 127.15 145.955 
566: 113.489 155.579 68.6294 
567: 76.5277 93.0334 113.638 
568: 68.368 91.3919 115.719 
569: 115.181 74.2838 97.1314 
570: 78.7769 100.251 95.6765 
571: 43.4303 105.958 80.8692 
572: 90.2402 123.822 114.073 
573: 107.653 102.623 41.5857 
574: 115.453 119.12 74.8135 
575: 123.117 76.8312 118.178 
576: 75.272 140.165 81.6774 
577: 129.98 125.821 99.4071 
578: 79.3911 136.621 94.2277 
579: 55.6311 62.9462 98.9106 
580: 33.9629 55.6545 96.8173 
581: 115.6 91.6438 133.468 
582: 106.957 75.1718 103.776 
583: 122.293 119.945 122.572 
584: 66.135 117.428 121.744 
585: 73.5883 151.421 113.667 
586: 64.7426 109.421 50.9464 
587: 96.9224 153.468 86.3081 
588: 149.192 97.2904 128.454 
589: 61.2749 112.226 77.7339 
590: 69.0277 59.3552 67.9236 
591: 88.801 87.8041 127.578 
592: 62.1444 93.1583 46.7517 
593: 95.9944 79.6233 108.264 
594: 44.2377 80.3575 113.881 
595: 124.592 86.1886 74.2316 
596: 35.6257 117.279 86.6484 
597: 108.498 97.6548 124.147 
598: 71.4698 85.7047 96.8421 
599: 105.129 130.55 122.877 
600: 130.695 95.2541 142.574 
601: 51.7731 78.3299 83.3343 
602: 110.733 135.273 66.9446 
603: 85.5873 164.179 94.9306 
604: 83.8312 87.3067 75.872 
605: 95.2831 56.7838 64.4218 
606: 63.2833 125.464 61.5701 
607: 114.631 136.605 82.6337 
608: 101.795 71.692 138.361 
609: 65.6066 119.159 138.451 
610: 66.4618 114.916 98.8684 
611: 82.7021 94.1158 170.552 
612: 108.935 106.859 83.387 
613: 160.9 89.516 105.511 
614: 121.706 126.957 127.269 
615: 75.832 111.467 119.7 
616: 79.8371 102.077 146.621 
617: 41.0836 91.2203 114.45 
618: 59.2816 95.9388 126.817 
619: 68.6628 107.95 134.361 
620: 62.2504 142.651 75.1373 
621: 116.649 99.0977 72.2026 
622: 94.8339 46.194 107.871 
623: 81.2022 86.555 58.9051 
